,ave_q,ave_x,ave_t,ave_p,counts
138,1.25,0.05,0.8,333.0,0
139,1.25,0.05,0.8,351.0,0
140,1.25,0.05,1.25,9.0,0
141,1.25,0.05,1.25,27.0,0
142,1.25,0.05,1.25,45.0,0
143,1.25,0.05,1.25,63.0,0
144,1.25,0.05,1.25,81.0,0
145,1.25,0.05,1.25,99.0,0
146,1.25,0.05,1.25,117.0,0
147,1.25,0.05,1.25,135.0,0
148,1.25,0.05,1.25,153.0,0
149,1.25,0.05,1.25,171.0,0
150,1.25,0.05,1.25,189.0,0
151,1.25,0.05,1.25,207.0,0
152,1.25,0.05,1.25,225.0,0
153,1.25,0.05,1.25,243.0,0
154,1.25,0.05,1.25,261.0,0
155,1.25,0.05,1.25,279.0,0
156,1.25,0.05,1.25,297.0,0
157,1.25,0.05,1.25,315.0,0
158,1.25,0.05,1.25,333.0,0
159,1.25,0.05,1.25,351.0,0
160,1.25,0.05,1.75,9.0,0
161,1.25,0.05,1.75,27.0,0
162,1.25,0.05,1.75,45.0,0
163,1.25,0.05,1.75,63.0,0
164,1.25,0.05,1.75,81.0,0
165,1.25,0.05,1.75,99.0,0
166,1.25,0.05,1.75,117.0,0
167,1.25,0.05,1.75,135.0,0
168,1.25,0.05,1.75,153.0,2
169,1.25,0.05,1.75,171.0,0
170,1.25,0.05,1.75,189.0,0
171,1.25,0.05,1.75,207.0,0
172,1.25,0.05,1.75,225.0,0
173,1.25,0.05,1.75,243.0,0
174,1.25,0.05,1.75,261.0,0
175,1.25,0.05,1.75,279.0,0
176,1.25,0.05,1.75,297.0,0
177,1.25,0.05,1.75,315.0,0
178,1.25,0.05,1.75,333.0,0
179,1.25,0.05,1.75,351.0,0
180,1.25,0.05,2.5,9.0,0
181,1.25,0.05,2.5,27.0,0
182,1.25,0.05,2.5,45.0,0
183,1.25,0.05,2.5,63.0,0
184,1.25,0.05,2.5,81.0,0
185,1.25,0.05,2.5,99.0,0
186,1.25,0.05,2.5,117.0,0
187,1.25,0.05,2.5,135.0,0
188,1.25,0.05,2.5,153.0,0
189,1.25,0.05,2.5,171.0,0
190,1.25,0.05,2.5,189.0,0
191,1.25,0.05,2.5,207.0,0
192,1.25,0.05,2.5,225.0,0
193,1.25,0.05,2.5,243.0,0
194,1.25,0.05,2.5,261.0,0
195,1.25,0.05,2.5,279.0,0
196,1.25,0.05,2.5,297.0,0
197,1.25,0.05,2.5,315.0,0
198,1.25,0.05,2.5,333.0,0
199,1.25,0.05,2.5,351.0,0
200,1.25,0.05,4.0,9.0,0
201,1.25,0.05,4.0,27.0,1
202,1.25,0.05,4.0,45.0,0
203,1.25,0.05,4.0,63.0,0
204,1.25,0.05,4.0,81.0,0
205,1.25,0.05,4.0,99.0,0
206,1.25,0.05,4.0,117.0,0
207,1.25,0.05,4.0,135.0,0
208,1.25,0.05,4.0,153.0,0
209,1.25,0.05,4.0,171.0,0
210,1.25,0.05,4.0,189.0,0
211,1.25,0.05,4.0,207.0,1
212,1.25,0.05,4.0,225.0,2
213,1.25,0.05,4.0,243.0,0
214,1.25,0.05,4.0,261.0,0
215,1.25,0.05,4.0,279.0,0
216,1.25,0.05,4.0,297.0,0
217,1.25,0.05,4.0,315.0,1
218,1.25,0.05,4.0,333.0,0
219,1.25,0.05,4.0,351.0,0
220,1.25,0.05,7.5,9.0,0
221,1.25,0.05,7.5,27.0,0
222,1.25,0.05,7.5,45.0,0
223,1.25,0.05,7.5,63.0,0
224,1.25,0.05,7.5,81.0,0
225,1.25,0.05,7.5,99.0,0
226,1.25,0.05,7.5,117.0,1
227,1.25,0.05,7.5,135.0,0
228,1.25,0.05,7.5,153.0,0
229,1.25,0.05,7.5,171.0,0
230,1.25,0.05,7.5,189.0,0
231,1.25,0.05,7.5,207.0,0
232,1.25,0.05,7.5,225.0,0
233,1.25,0.05,7.5,243.0,1
234,1.25,0.05,7.5,261.0,0
235,1.25,0.05,7.5,279.0,1
236,1.25,0.05,7.5,297.0,0
237,1.25,0.05,7.5,315.0,0
238,1.25,0.05,7.5,333.0,0
239,1.25,0.05,7.5,351.0,0
240,1.25,0.125,0.045,9.0,0
241,1.25,0.125,0.045,27.0,0
242,1.25,0.125,0.045,45.0,0
243,1.25,0.125,0.045,63.0,0
244,1.25,0.125,0.045,81.0,0
245,1.25,0.125,0.045,99.0,0
246,1.25,0.125,0.045,117.0,0
247,1.25,0.125,0.045,135.0,0
248,1.25,0.125,0.045,153.0,0
249,1.25,0.125,0.045,171.0,0
250,1.25,0.125,0.045,189.0,0
251,1.25,0.125,0.045,207.0,0
252,1.25,0.125,0.045,225.0,0
253,1.25,0.125,0.045,243.0,0
254,1.25,0.125,0.045,261.0,0
255,1.25,0.125,0.045,279.0,0
256,1.25,0.125,0.045,297.0,0
257,1.25,0.125,0.045,315.0,0
258,1.25,0.125,0.045,333.0,0
259,1.25,0.125,0.045,351.0,0
260,1.25,0.125,0.12,9.0,0
261,1.25,0.125,0.12,27.0,0
262,1.25,0.125,0.12,45.0,0
263,1.25,0.125,0.12,63.0,0
264,1.25,0.125,0.12,81.0,0
265,1.25,0.125,0.12,99.0,0
266,1.25,0.125,0.12,117.0,0
267,1.25,0.125,0.12,135.0,0
268,1.25,0.125,0.12,153.0,0
269,1.25,0.125,0.12,171.0,0
270,1.25,0.125,0.12,189.0,0
271,1.25,0.125,0.12,207.0,0
272,1.25,0.125,0.12,225.0,0
273,1.25,0.125,0.12,243.0,0
274,1.25,0.125,0.12,261.0,0
275,1.25,0.125,0.12,279.0,0
276,1.25,0.125,0.12,297.0,0
277,1.25,0.125,0.12,315.0,0
278,1.25,0.125,0.12,333.0,0
279,1.25,0.125,0.12,351.0,0
280,1.25,0.125,0.175,9.0,0
281,1.25,0.125,0.175,27.0,0
282,1.25,0.125,0.175,45.0,0
283,1.25,0.125,0.175,63.0,0
284,1.25,0.125,0.175,81.0,0
285,1.25,0.125,0.175,99.0,0
286,1.25,0.125,0.175,117.0,0
287,1.25,0.125,0.175,135.0,0
288,1.25,0.125,0.175,153.0,0
289,1.25,0.125,0.175,171.0,0
290,1.25,0.125,0.175,189.0,0
291,1.25,0.125,0.175,207.0,0
292,1.25,0.125,0.175,225.0,0
293,1.25,0.125,0.175,243.0,0
294,1.25,0.125,0.175,261.0,0
295,1.25,0.125,0.175,279.0,0
296,1.25,0.125,0.175,297.0,0
297,1.25,0.125,0.175,315.0,0
298,1.25,0.125,0.175,333.0,0
299,1.25,0.125,0.175,351.0,0
300,1.25,0.125,0.25,9.0,0
301,1.25,0.125,0.25,27.0,0
302,1.25,0.125,0.25,45.0,0
303,1.25,0.125,0.25,63.0,0
304,1.25,0.125,0.25,81.0,0
305,1.25,0.125,0.25,99.0,0
306,1.25,0.125,0.25,117.0,0
307,1.25,0.125,0.25,135.0,0
308,1.25,0.125,0.25,153.0,0
309,1.25,0.125,0.25,171.0,0
310,1.25,0.125,0.25,189.0,0
311,1.25,0.125,0.25,207.0,0
312,1.25,0.125,0.25,225.0,0
313,1.25,0.125,0.25,243.0,0
