,ave_q,ave_x,ave_t,ave_p,counts
8147,2.75,0.225,7.5,135.0,0
8148,2.75,0.225,7.5,153.0,0
8149,2.75,0.225,7.5,171.0,0
8150,2.75,0.225,7.5,189.0,0
8151,2.75,0.225,7.5,207.0,0
8152,2.75,0.225,7.5,225.0,0
8153,2.75,0.225,7.5,243.0,0
8154,2.75,0.225,7.5,261.0,2
8155,2.75,0.225,7.5,279.0,0
8156,2.75,0.225,7.5,297.0,0
8157,2.75,0.225,7.5,315.0,0
8158,2.75,0.225,7.5,333.0,1
8159,2.75,0.225,7.5,351.0,0
8160,2.75,0.275,0.045,9.0,0
8161,2.75,0.275,0.045,27.0,0
8162,2.75,0.275,0.045,45.0,0
8163,2.75,0.275,0.045,63.0,0
8164,2.75,0.275,0.045,81.0,0
8165,2.75,0.275,0.045,99.0,0
8166,2.75,0.275,0.045,117.0,0
8167,2.75,0.275,0.045,135.0,0
8168,2.75,0.275,0.045,153.0,0
8169,2.75,0.275,0.045,171.0,0
8170,2.75,0.275,0.045,189.0,0
8171,2.75,0.275,0.045,207.0,0
8172,2.75,0.275,0.045,225.0,0
8173,2.75,0.275,0.045,243.0,0
8174,2.75,0.275,0.045,261.0,0
8175,2.75,0.275,0.045,279.0,0
8176,2.75,0.275,0.045,297.0,0
8177,2.75,0.275,0.045,315.0,0
8178,2.75,0.275,0.045,333.0,0
8179,2.75,0.275,0.045,351.0,0
8180,2.75,0.275,0.12,9.0,0
8181,2.75,0.275,0.12,27.0,0
8182,2.75,0.275,0.12,45.0,0
8183,2.75,0.275,0.12,63.0,1
8184,2.75,0.275,0.12,81.0,0
8185,2.75,0.275,0.12,99.0,2
8186,2.75,0.275,0.12,117.0,0
8187,2.75,0.275,0.12,135.0,0
8188,2.75,0.275,0.12,153.0,1
8189,2.75,0.275,0.12,171.0,0
8190,2.75,0.275,0.12,189.0,0
8191,2.75,0.275,0.12,207.0,0
8192,2.75,0.275,0.12,225.0,0
8193,2.75,0.275,0.12,243.0,0
8194,2.75,0.275,0.12,261.0,0
8195,2.75,0.275,0.12,279.0,0
8196,2.75,0.275,0.12,297.0,0
8197,2.75,0.275,0.12,315.0,0
8198,2.75,0.275,0.12,333.0,0
8199,2.75,0.275,0.12,351.0,0
8200,2.75,0.275,0.175,9.0,0
8201,2.75,0.275,0.175,27.0,0
8202,2.75,0.275,0.175,45.0,3
8203,2.75,0.275,0.175,63.0,0
8204,2.75,0.275,0.175,81.0,3
8205,2.75,0.275,0.175,99.0,14
8206,2.75,0.275,0.175,117.0,27
8207,2.75,0.275,0.175,135.0,12
8208,2.75,0.275,0.175,153.0,17
8209,2.75,0.275,0.175,171.0,10
8210,2.75,0.275,0.175,189.0,7
8211,2.75,0.275,0.175,207.0,11
8212,2.75,0.275,0.175,225.0,16
8213,2.75,0.275,0.175,243.0,8
8214,2.75,0.275,0.175,261.0,10
8215,2.75,0.275,0.175,279.0,1
8216,2.75,0.275,0.175,297.0,0
8217,2.75,0.275,0.175,315.0,0
8218,2.75,0.275,0.175,333.0,0
8219,2.75,0.275,0.175,351.0,0
8220,2.75,0.275,0.25,9.0,1
8221,2.75,0.275,0.25,27.0,0
8222,2.75,0.275,0.25,45.0,2
8223,2.75,0.275,0.25,63.0,2
8224,2.75,0.275,0.25,81.0,2
8225,2.75,0.275,0.25,99.0,20
8226,2.75,0.275,0.25,117.0,63
8227,2.75,0.275,0.25,135.0,71
8228,2.75,0.275,0.25,153.0,58
8229,2.75,0.275,0.25,171.0,57
8230,2.75,0.275,0.25,189.0,56
8231,2.75,0.275,0.25,207.0,40
8232,2.75,0.275,0.25,225.0,56
8233,2.75,0.275,0.25,243.0,22
8234,2.75,0.275,0.25,261.0,3
8235,2.75,0.275,0.25,279.0,1
8236,2.75,0.275,0.25,297.0,1
8237,2.75,0.275,0.25,315.0,0
8238,2.75,0.275,0.25,333.0,1
8239,2.75,0.275,0.25,351.0,2
8240,2.75,0.275,0.35,9.0,0
8241,2.75,0.275,0.35,27.0,0
8242,2.75,0.275,0.35,45.0,0
8243,2.75,0.275,0.35,63.0,1
8244,2.75,0.275,0.35,81.0,2
8245,2.75,0.275,0.35,99.0,9
8246,2.75,0.275,0.35,117.0,33
8247,2.75,0.275,0.35,135.0,83
8248,2.75,0.275,0.35,153.0,58
8249,2.75,0.275,0.35,171.0,61
8250,2.75,0.275,0.35,189.0,52
8251,2.75,0.275,0.35,207.0,35
8252,2.75,0.275,0.35,225.0,38
8253,2.75,0.275,0.35,243.0,21
8254,2.75,0.275,0.35,261.0,0
8255,2.75,0.275,0.35,279.0,0
8256,2.75,0.275,0.35,297.0,0
8257,2.75,0.275,0.35,315.0,0
8258,2.75,0.275,0.35,333.0,0
8259,2.75,0.275,0.35,351.0,0
8260,2.75,0.275,0.5,9.0,0
8261,2.75,0.275,0.5,27.0,0
8262,2.75,0.275,0.5,45.0,0
8263,2.75,0.275,0.5,63.0,0
8264,2.75,0.275,0.5,81.0,0
8265,2.75,0.275,0.5,99.0,5
8266,2.75,0.275,0.5,117.0,38
8267,2.75,0.275,0.5,135.0,94
8268,2.75,0.275,0.5,153.0,117
8269,2.75,0.275,0.5,171.0,84
8270,2.75,0.275,0.5,189.0,97
8271,2.75,0.275,0.5,207.0,60
8272,2.75,0.275,0.5,225.0,43
8273,2.75,0.275,0.5,243.0,17
8274,2.75,0.275,0.5,261.0,1
8275,2.75,0.275,0.5,279.0,2
8276,2.75,0.275,0.5,297.0,0
8277,2.75,0.275,0.5,315.0,0
8278,2.75,0.275,0.5,333.0,0
8279,2.75,0.275,0.5,351.0,0
8280,2.75,0.275,0.8,9.0,0
8281,2.75,0.275,0.8,27.0,0
8282,2.75,0.275,0.8,45.0,0
8283,2.75,0.275,0.8,63.0,0
8284,2.75,0.275,0.8,81.0,0
8285,2.75,0.275,0.8,99.0,4
8286,2.75,0.275,0.8,117.0,26
8287,2.75,0.275,0.8,135.0,128
8288,2.75,0.275,0.8,153.0,160
8289,2.75,0.275,0.8,171.0,110
8290,2.75,0.275,0.8,189.0,109
8291,2.75,0.275,0.8,207.0,98
8292,2.75,0.275,0.8,225.0,42
8293,2.75,0.275,0.8,243.0,31
8294,2.75,0.275,0.8,261.0,3
8295,2.75,0.275,0.8,279.0,2
8296,2.75,0.275,0.8,297.0,0
8297,2.75,0.275,0.8,315.0,0
8298,2.75,0.275,0.8,333.0,0
8299,2.75,0.275,0.8,351.0,0
8300,2.75,0.275,1.25,9.0,0
8301,2.75,0.275,1.25,27.0,0
8302,2.75,0.275,1.25,45.0,0
8303,2.75,0.275,1.25,63.0,1
8304,2.75,0.275,1.25,81.0,3
8305,2.75,0.275,1.25,99.0,10
8306,2.75,0.275,1.25,117.0,34
8307,2.75,0.275,1.25,135.0,75
8308,2.75,0.275,1.25,153.0,96
8309,2.75,0.275,1.25,171.0,76
8310,2.75,0.275,1.25,189.0,54
8311,2.75,0.275,1.25,207.0,69
8312,2.75,0.275,1.25,225.0,45
8313,2.75,0.275,1.25,243.0,48
8314,2.75,0.275,1.25,261.0,27
8315,2.75,0.275,1.25,279.0,3
8316,2.75,0.275,1.25,297.0,0
8317,2.75,0.275,1.25,315.0,0
8318,2.75,0.275,1.25,333.0,0
8319,2.75,0.275,1.25,351.0,0
8320,2.75,0.275,1.75,9.0,0
8321,2.75,0.275,1.75,27.0,0
8322,2.75,0.275,1.75,45.0,0
8323,2.75,0.275,1.75,63.0,1
8324,2.75,0.275,1.75,81.0,3
8325,2.75,0.275,1.75,99.0,8
8326,2.75,0.275,1.75,117.0,26
8327,2.75,0.275,1.75,135.0,23
8328,2.75,0.275,1.75,153.0,47
8329,2.75,0.275,1.75,171.0,36
8330,2.75,0.275,1.75,189.0,32
8331,2.75,0.275,1.75,207.0,34
8332,2.75,0.275,1.75,225.0,26
8333,2.75,0.275,1.75,243.0,43
8334,2.75,0.275,1.75,261.0,36
8335,2.75,0.275,1.75,279.0,8
8336,2.75,0.275,1.75,297.0,1
8337,2.75,0.275,1.75,315.0,0
8338,2.75,0.275,1.75,333.0,0
8339,2.75,0.275,1.75,351.0,0
8340,2.75,0.275,2.5,9.0,0
8341,2.75,0.275,2.5,27.0,0
8342,2.75,0.275,2.5,45.0,1
8343,2.75,0.275,2.5,63.0,4
8344,2.75,0.275,2.5,81.0,17
8345,2.75,0.275,2.5,99.0,13
8346,2.75,0.275,2.5,117.0,32
8347,2.75,0.275,2.5,135.0,16
8348,2.75,0.275,2.5,153.0,28
8349,2.75,0.275,2.5,171.0,20
8350,2.75,0.275,2.5,189.0,13
8351,2.75,0.275,2.5,207.0,21
8352,2.75,0.275,2.5,225.0,27
8353,2.75,0.275,2.5,243.0,37
8354,2.75,0.275,2.5,261.0,66
8355,2.75,0.275,2.5,279.0,30
8356,2.75,0.275,2.5,297.0,0
8357,2.75,0.275,2.5,315.0,1
8358,2.75,0.275,2.5,333.0,0
8359,2.75,0.275,2.5,351.0,0
8360,2.75,0.275,4.0,9.0,0
8361,2.75,0.275,4.0,27.0,1
8362,2.75,0.275,4.0,45.0,3
8363,2.75,0.275,4.0,63.0,2
8364,2.75,0.275,4.0,81.0,8
8365,2.75,0.275,4.0,99.0,13
8366,2.75,0.275,4.0,117.0,6
8367,2.75,0.275,4.0,135.0,3
8368,2.75,0.275,4.0,153.0,2
8369,2.75,0.275,4.0,171.0,1
8370,2.75,0.275,4.0,189.0,0
8371,2.75,0.275,4.0,207.0,1
8372,2.75,0.275,4.0,225.0,1
8373,2.75,0.275,4.0,243.0,7
8374,2.75,0.275,4.0,261.0,13
8375,2.75,0.275,4.0,279.0,9
8376,2.75,0.275,4.0,297.0,3
8377,2.75,0.275,4.0,315.0,3
8378,2.75,0.275,4.0,333.0,1
8379,2.75,0.275,4.0,351.0,0
8380,2.75,0.275,7.5,9.0,0
8381,2.75,0.275,7.5,27.0,1
8382,2.75,0.275,7.5,45.0,1
8383,2.75,0.275,7.5,63.0,0
8384,2.75,0.275,7.5,81.0,0
8385,2.75,0.275,7.5,99.0,0
8386,2.75,0.275,7.5,117.0,0
8387,2.75,0.275,7.5,135.0,0
8388,2.75,0.275,7.5,153.0,0
8389,2.75,0.275,7.5,171.0,0
8390,2.75,0.275,7.5,189.0,0
8391,2.75,0.275,7.5,207.0,0
8392,2.75,0.275,7.5,225.0,0
8393,2.75,0.275,7.5,243.0,0
8394,2.75,0.275,7.5,261.0,0
8395,2.75,0.275,7.5,279.0,0
8396,2.75,0.275,7.5,297.0,1
8397,2.75,0.275,7.5,315.0,0
8398,2.75,0.275,7.5,333.0,0
8399,2.75,0.275,7.5,351.0,0
8400,2.75,0.33999999999999997,0.045,9.0,0
8401,2.75,0.33999999999999997,0.045,27.0,0
8402,2.75,0.33999999999999997,0.045,45.0,0
8403,2.75,0.33999999999999997,0.045,63.0,0
8404,2.75,0.33999999999999997,0.045,81.0,0
8405,2.75,0.33999999999999997,0.045,99.0,0
8406,2.75,0.33999999999999997,0.045,117.0,0
8407,2.75,0.33999999999999997,0.045,135.0,0
8408,2.75,0.33999999999999997,0.045,153.0,0
8409,2.75,0.33999999999999997,0.045,171.0,0
8410,2.75,0.33999999999999997,0.045,189.0,0
8411,2.75,0.33999999999999997,0.045,207.0,0
8412,2.75,0.33999999999999997,0.045,225.0,0
8413,2.75,0.33999999999999997,0.045,243.0,0
8414,2.75,0.33999999999999997,0.045,261.0,0
8415,2.75,0.33999999999999997,0.045,279.0,0
8416,2.75,0.33999999999999997,0.045,297.0,0
8417,2.75,0.33999999999999997,0.045,315.0,0
8418,2.75,0.33999999999999997,0.045,333.0,0
8419,2.75,0.33999999999999997,0.045,351.0,0
8420,2.75,0.33999999999999997,0.12,9.0,0
8421,2.75,0.33999999999999997,0.12,27.0,1
8422,2.75,0.33999999999999997,0.12,45.0,0
8423,2.75,0.33999999999999997,0.12,63.0,0
8424,2.75,0.33999999999999997,0.12,81.0,0
8425,2.75,0.33999999999999997,0.12,99.0,0
8426,2.75,0.33999999999999997,0.12,117.0,0
8427,2.75,0.33999999999999997,0.12,135.0,0
8428,2.75,0.33999999999999997,0.12,153.0,0
8429,2.75,0.33999999999999997,0.12,171.0,0
8430,2.75,0.33999999999999997,0.12,189.0,0
8431,2.75,0.33999999999999997,0.12,207.0,0
8432,2.75,0.33999999999999997,0.12,225.0,0
8433,2.75,0.33999999999999997,0.12,243.0,0
8434,2.75,0.33999999999999997,0.12,261.0,0
8435,2.75,0.33999999999999997,0.12,279.0,0
8436,2.75,0.33999999999999997,0.12,297.0,0
8437,2.75,0.33999999999999997,0.12,315.0,1
8438,2.75,0.33999999999999997,0.12,333.0,0
8439,2.75,0.33999999999999997,0.12,351.0,0
8440,2.75,0.33999999999999997,0.175,9.0,5
8441,2.75,0.33999999999999997,0.175,27.0,7
8442,2.75,0.33999999999999997,0.175,45.0,24
8443,2.75,0.33999999999999997,0.175,63.0,46
8444,2.75,0.33999999999999997,0.175,81.0,38
8445,2.75,0.33999999999999997,0.175,99.0,20
8446,2.75,0.33999999999999997,0.175,117.0,9
8447,2.75,0.33999999999999997,0.175,135.0,4
8448,2.75,0.33999999999999997,0.175,153.0,0
8449,2.75,0.33999999999999997,0.175,171.0,2
8450,2.75,0.33999999999999997,0.175,189.0,1
8451,2.75,0.33999999999999997,0.175,207.0,4
8452,2.75,0.33999999999999997,0.175,225.0,6
8453,2.75,0.33999999999999997,0.175,243.0,15
8454,2.75,0.33999999999999997,0.175,261.0,38
8455,2.75,0.33999999999999997,0.175,279.0,19
8456,2.75,0.33999999999999997,0.175,297.0,9
8457,2.75,0.33999999999999997,0.175,315.0,11
8458,2.75,0.33999999999999997,0.175,333.0,13
8459,2.75,0.33999999999999997,0.175,351.0,3
8460,2.75,0.33999999999999997,0.25,9.0,6
8461,2.75,0.33999999999999997,0.25,27.0,3
8462,2.75,0.33999999999999997,0.25,45.0,5
8463,2.75,0.33999999999999997,0.25,63.0,38
8464,2.75,0.33999999999999997,0.25,81.0,100
8465,2.75,0.33999999999999997,0.25,99.0,121
8466,2.75,0.33999999999999997,0.25,117.0,120
8467,2.75,0.33999999999999997,0.25,135.0,103
8468,2.75,0.33999999999999997,0.25,153.0,36
8469,2.75,0.33999999999999997,0.25,171.0,51
8470,2.75,0.33999999999999997,0.25,189.0,46
8471,2.75,0.33999999999999997,0.25,207.0,60
8472,2.75,0.33999999999999997,0.25,225.0,81
8473,2.75,0.33999999999999997,0.25,243.0,97
8474,2.75,0.33999999999999997,0.25,261.0,90
8475,2.75,0.33999999999999997,0.25,279.0,46
8476,2.75,0.33999999999999997,0.25,297.0,9
8477,2.75,0.33999999999999997,0.25,315.0,9
8478,2.75,0.33999999999999997,0.25,333.0,4
8479,2.75,0.33999999999999997,0.25,351.0,2
8480,2.75,0.33999999999999997,0.35,9.0,1
8481,2.75,0.33999999999999997,0.35,27.0,4
8482,2.75,0.33999999999999997,0.35,45.0,1
8483,2.75,0.33999999999999997,0.35,63.0,5
8484,2.75,0.33999999999999997,0.35,81.0,38
8485,2.75,0.33999999999999997,0.35,99.0,128
8486,2.75,0.33999999999999997,0.35,117.0,123
8487,2.75,0.33999999999999997,0.35,135.0,144
8488,2.75,0.33999999999999997,0.35,153.0,91
8489,2.75,0.33999999999999997,0.35,171.0,90
8490,2.75,0.33999999999999997,0.35,189.0,80
8491,2.75,0.33999999999999997,0.35,207.0,110
8492,2.75,0.33999999999999997,0.35,225.0,131
8493,2.75,0.33999999999999997,0.35,243.0,101
8494,2.75,0.33999999999999997,0.35,261.0,38
8495,2.75,0.33999999999999997,0.35,279.0,21
8496,2.75,0.33999999999999997,0.35,297.0,2
8497,2.75,0.33999999999999997,0.35,315.0,0
8498,2.75,0.33999999999999997,0.35,333.0,2
8499,2.75,0.33999999999999997,0.35,351.0,2
8500,2.75,0.33999999999999997,0.5,9.0,0
8501,2.75,0.33999999999999997,0.5,27.0,2
8502,2.75,0.33999999999999997,0.5,45.0,0
8503,2.75,0.33999999999999997,0.5,63.0,2
8504,2.75,0.33999999999999997,0.5,81.0,12
8505,2.75,0.33999999999999997,0.5,99.0,135
8506,2.75,0.33999999999999997,0.5,117.0,168
8507,2.75,0.33999999999999997,0.5,135.0,242
8508,2.75,0.33999999999999997,0.5,153.0,257
8509,2.75,0.33999999999999997,0.5,171.0,157
8510,2.75,0.33999999999999997,0.5,189.0,217
8511,2.75,0.33999999999999997,0.5,207.0,161
8512,2.75,0.33999999999999997,0.5,225.0,192
8513,2.75,0.33999999999999997,0.5,243.0,143
8514,2.75,0.33999999999999997,0.5,261.0,54
8515,2.75,0.33999999999999997,0.5,279.0,8
8516,2.75,0.33999999999999997,0.5,297.0,5
8517,2.75,0.33999999999999997,0.5,315.0,0
8518,2.75,0.33999999999999997,0.5,333.0,0
8519,2.75,0.33999999999999997,0.5,351.0,0
8520,2.75,0.33999999999999997,0.8,9.0,0
8521,2.75,0.33999999999999997,0.8,27.0,0
8522,2.75,0.33999999999999997,0.8,45.0,2
8523,2.75,0.33999999999999997,0.8,63.0,0
8524,2.75,0.33999999999999997,0.8,81.0,3
8525,2.75,0.33999999999999997,0.8,99.0,116
8526,2.75,0.33999999999999997,0.8,117.0,230
8527,2.75,0.33999999999999997,0.8,135.0,230
8528,2.75,0.33999999999999997,0.8,153.0,364
8529,2.75,0.33999999999999997,0.8,171.0,268
8530,2.75,0.33999999999999997,0.8,189.0,277
8531,2.75,0.33999999999999997,0.8,207.0,220
8532,2.75,0.33999999999999997,0.8,225.0,165
8533,2.75,0.33999999999999997,0.8,243.0,165
8534,2.75,0.33999999999999997,0.8,261.0,58
8535,2.75,0.33999999999999997,0.8,279.0,4
8536,2.75,0.33999999999999997,0.8,297.0,0
8537,2.75,0.33999999999999997,0.8,315.0,0
8538,2.75,0.33999999999999997,0.8,333.0,0
8539,2.75,0.33999999999999997,0.8,351.0,0
8540,2.75,0.33999999999999997,1.25,9.0,0
8541,2.75,0.33999999999999997,1.25,27.0,0
8542,2.75,0.33999999999999997,1.25,45.0,0
8543,2.75,0.33999999999999997,1.25,63.0,0
8544,2.75,0.33999999999999997,1.25,81.0,7
8545,2.75,0.33999999999999997,1.25,99.0,58
8546,2.75,0.33999999999999997,1.25,117.0,143
8547,2.75,0.33999999999999997,1.25,135.0,135
8548,2.75,0.33999999999999997,1.25,153.0,180
8549,2.75,0.33999999999999997,1.25,171.0,142
8550,2.75,0.33999999999999997,1.25,189.0,113
8551,2.75,0.33999999999999997,1.25,207.0,138
8552,2.75,0.33999999999999997,1.25,225.0,85
8553,2.75,0.33999999999999997,1.25,243.0,114
8554,2.75,0.33999999999999997,1.25,261.0,74
8555,2.75,0.33999999999999997,1.25,279.0,6
8556,2.75,0.33999999999999997,1.25,297.0,2
8557,2.75,0.33999999999999997,1.25,315.0,0
8558,2.75,0.33999999999999997,1.25,333.0,0
8559,2.75,0.33999999999999997,1.25,351.0,0
8560,2.75,0.33999999999999997,1.75,9.0,0
8561,2.75,0.33999999999999997,1.75,27.0,0
8562,2.75,0.33999999999999997,1.75,45.0,0
8563,2.75,0.33999999999999997,1.75,63.0,2
8564,2.75,0.33999999999999997,1.75,81.0,19
8565,2.75,0.33999999999999997,1.75,99.0,31
8566,2.75,0.33999999999999997,1.75,117.0,68
8567,2.75,0.33999999999999997,1.75,135.0,52
8568,2.75,0.33999999999999997,1.75,153.0,37
8569,2.75,0.33999999999999997,1.75,171.0,45
8570,2.75,0.33999999999999997,1.75,189.0,25
8571,2.75,0.33999999999999997,1.75,207.0,47
8572,2.75,0.33999999999999997,1.75,225.0,22
8573,2.75,0.33999999999999997,1.75,243.0,64
8574,2.75,0.33999999999999997,1.75,261.0,107
8575,2.75,0.33999999999999997,1.75,279.0,26
8576,2.75,0.33999999999999997,1.75,297.0,3
8577,2.75,0.33999999999999997,1.75,315.0,0
8578,2.75,0.33999999999999997,1.75,333.0,0
8579,2.75,0.33999999999999997,1.75,351.0,0
8580,2.75,0.33999999999999997,2.5,9.0,0
8581,2.75,0.33999999999999997,2.5,27.0,0
8582,2.75,0.33999999999999997,2.5,45.0,4
8583,2.75,0.33999999999999997,2.5,63.0,23
8584,2.75,0.33999999999999997,2.5,81.0,85
8585,2.75,0.33999999999999997,2.5,99.0,52
8586,2.75,0.33999999999999997,2.5,117.0,32
8587,2.75,0.33999999999999997,2.5,135.0,19
8588,2.75,0.33999999999999997,2.5,153.0,7
8589,2.75,0.33999999999999997,2.5,171.0,7
8590,2.75,0.33999999999999997,2.5,189.0,7
8591,2.75,0.33999999999999997,2.5,207.0,5
8592,2.75,0.33999999999999997,2.5,225.0,15
8593,2.75,0.33999999999999997,2.5,243.0,30
8594,2.75,0.33999999999999997,2.5,261.0,122
8595,2.75,0.33999999999999997,2.5,279.0,65
8596,2.75,0.33999999999999997,2.5,297.0,9
8597,2.75,0.33999999999999997,2.5,315.0,0
8598,2.75,0.33999999999999997,2.5,333.0,1
8599,2.75,0.33999999999999997,2.5,351.0,0
8600,2.75,0.33999999999999997,4.0,9.0,0
8601,2.75,0.33999999999999997,4.0,27.0,6
8602,2.75,0.33999999999999997,4.0,45.0,4
8603,2.75,0.33999999999999997,4.0,63.0,23
8604,2.75,0.33999999999999997,4.0,81.0,19
8605,2.75,0.33999999999999997,4.0,99.0,4
8606,2.75,0.33999999999999997,4.0,117.0,0
8607,2.75,0.33999999999999997,4.0,135.0,0
8608,2.75,0.33999999999999997,4.0,153.0,0
8609,2.75,0.33999999999999997,4.0,171.0,0
8610,2.75,0.33999999999999997,4.0,189.0,0
8611,2.75,0.33999999999999997,4.0,207.0,0
8612,2.75,0.33999999999999997,4.0,225.0,0
8613,2.75,0.33999999999999997,4.0,243.0,2
8614,2.75,0.33999999999999997,4.0,261.0,7
8615,2.75,0.33999999999999997,4.0,279.0,10
8616,2.75,0.33999999999999997,4.0,297.0,9
8617,2.75,0.33999999999999997,4.0,315.0,9
8618,2.75,0.33999999999999997,4.0,333.0,3
8619,2.75,0.33999999999999997,4.0,351.0,0
8620,2.75,0.33999999999999997,7.5,9.0,1
8621,2.75,0.33999999999999997,7.5,27.0,1
8622,2.75,0.33999999999999997,7.5,45.0,3
8623,2.75,0.33999999999999997,7.5,63.0,1
8624,2.75,0.33999999999999997,7.5,81.0,0
8625,2.75,0.33999999999999997,7.5,99.0,0
8626,2.75,0.33999999999999997,7.5,117.0,0
8627,2.75,0.33999999999999997,7.5,135.0,0
8628,2.75,0.33999999999999997,7.5,153.0,1
8629,2.75,0.33999999999999997,7.5,171.0,0
8630,2.75,0.33999999999999997,7.5,189.0,0
8631,2.75,0.33999999999999997,7.5,207.0,0
8632,2.75,0.33999999999999997,7.5,225.0,0
8633,2.75,0.33999999999999997,7.5,243.0,0
8634,2.75,0.33999999999999997,7.5,261.0,0
8635,2.75,0.33999999999999997,7.5,279.0,0
8636,2.75,0.33999999999999997,7.5,297.0,0
8637,2.75,0.33999999999999997,7.5,315.0,2
8638,2.75,0.33999999999999997,7.5,333.0,3
8639,2.75,0.33999999999999997,7.5,351.0,0
8640,2.75,0.43,0.045,9.0,0
8641,2.75,0.43,0.045,27.0,0
8642,2.75,0.43,0.045,45.0,0
8643,2.75,0.43,0.045,63.0,0
8644,2.75,0.43,0.045,81.0,0
8645,2.75,0.43,0.045,99.0,0
8646,2.75,0.43,0.045,117.0,0
8647,2.75,0.43,0.045,135.0,0
8648,2.75,0.43,0.045,153.0,0
8649,2.75,0.43,0.045,171.0,0
8650,2.75,0.43,0.045,189.0,0
8651,2.75,0.43,0.045,207.0,0
8652,2.75,0.43,0.045,225.0,0
8653,2.75,0.43,0.045,243.0,0
8654,2.75,0.43,0.045,261.0,0
8655,2.75,0.43,0.045,279.0,0
8656,2.75,0.43,0.045,297.0,0
8657,2.75,0.43,0.045,315.0,0
8658,2.75,0.43,0.045,333.0,0
8659,2.75,0.43,0.045,351.0,0
8660,2.75,0.43,0.12,9.0,0
8661,2.75,0.43,0.12,27.0,0
8662,2.75,0.43,0.12,45.0,0
8663,2.75,0.43,0.12,63.0,0
8664,2.75,0.43,0.12,81.0,0
8665,2.75,0.43,0.12,99.0,0
8666,2.75,0.43,0.12,117.0,0
8667,2.75,0.43,0.12,135.0,0
8668,2.75,0.43,0.12,153.0,0
8669,2.75,0.43,0.12,171.0,0
8670,2.75,0.43,0.12,189.0,0
8671,2.75,0.43,0.12,207.0,0
8672,2.75,0.43,0.12,225.0,0
8673,2.75,0.43,0.12,243.0,0
8674,2.75,0.43,0.12,261.0,0
8675,2.75,0.43,0.12,279.0,1
8676,2.75,0.43,0.12,297.0,0
8677,2.75,0.43,0.12,315.0,0
8678,2.75,0.43,0.12,333.0,1
8679,2.75,0.43,0.12,351.0,0
8680,2.75,0.43,0.175,9.0,10
8681,2.75,0.43,0.175,27.0,11
8682,2.75,0.43,0.175,45.0,8
8683,2.75,0.43,0.175,63.0,10
8684,2.75,0.43,0.175,81.0,6
8685,2.75,0.43,0.175,99.0,1
8686,2.75,0.43,0.175,117.0,0
8687,2.75,0.43,0.175,135.0,0
8688,2.75,0.43,0.175,153.0,0
8689,2.75,0.43,0.175,171.0,0
8690,2.75,0.43,0.175,189.0,0
8691,2.75,0.43,0.175,207.0,0
8692,2.75,0.43,0.175,225.0,0
8693,2.75,0.43,0.175,243.0,0
8694,2.75,0.43,0.175,261.0,1
8695,2.75,0.43,0.175,279.0,10
8696,2.75,0.43,0.175,297.0,14
8697,2.75,0.43,0.175,315.0,15
8698,2.75,0.43,0.175,333.0,15
8699,2.75,0.43,0.175,351.0,16
8700,2.75,0.43,0.25,9.0,50
8701,2.75,0.43,0.25,27.0,49
8702,2.75,0.43,0.25,45.0,58
8703,2.75,0.43,0.25,63.0,97
8704,2.75,0.43,0.25,81.0,96
8705,2.75,0.43,0.25,99.0,117
8706,2.75,0.43,0.25,117.0,92
8707,2.75,0.43,0.25,135.0,40
8708,2.75,0.43,0.25,153.0,14
8709,2.75,0.43,0.25,171.0,5
8710,2.75,0.43,0.25,189.0,6
8711,2.75,0.43,0.25,207.0,16
8712,2.75,0.43,0.25,225.0,35
8713,2.75,0.43,0.25,243.0,73
8714,2.75,0.43,0.25,261.0,106
8715,2.75,0.43,0.25,279.0,101
8716,2.75,0.43,0.25,297.0,81
8717,2.75,0.43,0.25,315.0,56
8718,2.75,0.43,0.25,333.0,53
8719,2.75,0.43,0.25,351.0,36
8720,2.75,0.43,0.35,9.0,8
8721,2.75,0.43,0.35,27.0,21
8722,2.75,0.43,0.35,45.0,47
8723,2.75,0.43,0.35,63.0,73
8724,2.75,0.43,0.35,81.0,150
8725,2.75,0.43,0.35,99.0,204
8726,2.75,0.43,0.35,117.0,156
8727,2.75,0.43,0.35,135.0,108
8728,2.75,0.43,0.35,153.0,44
8729,2.75,0.43,0.35,171.0,20
8730,2.75,0.43,0.35,189.0,35
8731,2.75,0.43,0.35,207.0,73
8732,2.75,0.43,0.35,225.0,101
8733,2.75,0.43,0.35,243.0,126
8734,2.75,0.43,0.35,261.0,154
8735,2.75,0.43,0.35,279.0,126
8736,2.75,0.43,0.35,297.0,50
8737,2.75,0.43,0.35,315.0,20
8738,2.75,0.43,0.35,333.0,20
8739,2.75,0.43,0.35,351.0,18
8740,2.75,0.43,0.5,9.0,4
8741,2.75,0.43,0.5,27.0,5
8742,2.75,0.43,0.5,45.0,2
8743,2.75,0.43,0.5,63.0,23
8744,2.75,0.43,0.5,81.0,173
8745,2.75,0.43,0.5,99.0,311
8746,2.75,0.43,0.5,117.0,353
8747,2.75,0.43,0.5,135.0,321
8748,2.75,0.43,0.5,153.0,178
8749,2.75,0.43,0.5,171.0,56
8750,2.75,0.43,0.5,189.0,118
8751,2.75,0.43,0.5,207.0,175
8752,2.75,0.43,0.5,225.0,239
8753,2.75,0.43,0.5,243.0,140
8754,2.75,0.43,0.5,261.0,165
