,run,event,luminosity,helicity,Ebeam,Eprime,q2,Q2_alt,xb,W2,nu,t,phi,GenEe,GenEpx,GenEpy,GenEpz,GenPe,GenPpx,GenPpy,GenPpz,GenPie,GenPipx,GenPipy,GenPipz,GenG2e,GenG2px,GenG2py,GenG2pz,W,MM2_ep,Etheta,Ephi,Gtheta,Gphi,MissE,MissPx,MissPy,MissPz,MM2_alt,ang_diff,log_fac,Q2_new,MM2_ep_2
74904,1,74904,0,0,10.6,9.06801701,1.2928948037380767,1.3111017715555575,0.44985899916237304,2.4609492855019246,1.5319829899999995,1.145934588908077,213.0854575521538,9.06801701,0.974900305,0.389727145,9.00703144,1.54883981,-0.429090083,0.0520452261,1.15422392,0.771264017,-0.545764327,-0.441981494,0.288866073,0.149879366,-4.58916111e-05,0.000209114602,0.149879217,1.5687413061119813,0.4036536676815829,0.08184258428698653,102.37772620366628,6.648732350500627,21.78960483216675,0.9211431800000001,-0.5458102220000001,-0.4417723711,0.4387446276830216,0.40365366768158306,6.56688976621364,1,1.2746878027134534,0.13490110180633966
43409,1,43409,0,0,10.6,9.66387558,1.169550076566526,1.1695511799104987,0.6659665454985175,1.4664633353534768,0.9361244200000005,0.5991487829824793,279.9337992814038,9.66387558,0.978761733,0.324415475,9.60870838,1.25737584,-0.597750723,-0.133540615,0.570973456,0.613710403,-0.382900864,-0.188540369,0.41985935,9.99999975e-06,0.0,0.0,9.99999975e-06,1.210976191076223,0.14869048515808256,0.0,0.0,6.1250601206848065,18.338036042097706,0.6167485800000012,-0.38101101000000004,-0.19087486,0.42031815168302245,0.14869048515808247,6.1250601206848065,1,1.1695489488033672,0.1486772738789547
56129,1,56129,0,0,10.6,9.71047974,1.1286397032873527,1.128640768045726,0.6763424488170333,1.4199443044726483,0.8895202599999994,0.885845869486295,304.92340678446254,9.71047974,0.511761427,0.877036631,9.65724182,1.41019905,-0.543918908,-0.64334178,0.631728888,0.41458407,0.0311779976,-0.233237505,0.313544512,9.99999975e-06,0.0,0.0,9.99999975e-06,1.1916141592279978,0.14754793298296925,0.0,0.0,6.002408760225916,59.73592419372576,0.4173212100000001,0.03215748099999993,-0.23369485099999998,0.3110292796830225,0.1475479329829692,6.002408760225916,1,1.1286386153053631,0.14754072891575917
91496,1,91496,0,0,10.6,9.3694582,0.9755873161243707,0.9755882364963477,0.4226072473080615,2.212753100675631,1.2305417999999992,0.9485295366533457,66.8141399364011,9.3694582,0.737309694,-0.562661886,9.3234396,1.44361377,-0.820103407,0.129233629,0.71756804,0.722693622,0.0826440454,0.431714892,0.557565987,9.99999975e-06,0.0,0.0,9.99999975e-06,1.487532554492718,0.1354007054380444,0.0,0.0,5.680979880977633,-37.348277104136045,0.7249280299999998,0.08279371299999994,0.433428257,0.5589923476830216,0.13540070543804458,5.680979880977633,1,0.9755863643059084,0.1353884497272816
5859,1,5859,0,0,10.6,8.45354748,1.2715076665352951,1.2715088660668652,0.31576563438260635,3.635081260984709,2.1464525200000004,2.0313376042346043,205.12026997043398,8.45354748,0.88536799,0.475983441,8.3935709,2.0208025,-0.229347706,0.217563421,1.76177883,1.06040823,-0.655844927,-0.690693617,0.446181059,9.99999975e-06,0.0,0.0,9.99999975e-06,1.9065889071807558,0.1492234920477927,0.0,0.0,6.829155068428354,28.262957171891372,1.0636500200000012,-0.656020284,-0.693546862,0.4446502576830218,0.14922349204779223,6.829155068428354,1,1.2715064126508961,0.14918200489335393
